,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
431,0.05680761337280273,0.002428207162315949,0.01250762939453125,0.0028697214906798353,3,0.5,3,auto,poly,"{'C': 3, 'coef0': 0.5, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.9875,0.9875,0.9875,0.9625,0.9875,0.9825000000000002,0.010000000000000009,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
432,0.04390311241149902,0.0035825389841310125,0.009798765182495117,0.0011669173510325053,3,1,2,0.01,poly,"{'C': 3, 'coef0': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.9875,0.98125,0.984375,0.959375,0.9875,0.9800000000000001,0.010569709078304871,262,0.99375,0.99453125,0.99453125,0.99765625,0.99609375,0.9953125,0.0013975424859373762
433,0.041422700881958006,0.002651309864987811,0.010198545455932618,0.0011667219139024066,3,1,2,0.025,poly,"{'C': 3, 'coef0': 1, 'degree': 2, 'gamma': 0.025, 'kernel': 'poly'}",0.990625,0.98125,0.984375,0.95625,0.984375,0.9793749999999999,0.011956954043568098,367,1.0,1.0,1.0,1.0,1.0,1.0,0.0
434,0.044110584259033206,0.0029546510956138024,0.011301994323730469,0.0016049930750919284,3,1,2,0.05,poly,"{'C': 3, 'coef0': 1, 'degree': 2, 'gamma': 0.05, 'kernel': 'poly'}",0.990625,0.984375,0.9875,0.953125,0.9875,0.9806250000000001,0.01389131923180805,209,1.0,1.0,1.0,1.0,1.0,1.0,0.0
435,0.0565155029296875,0.005028055203176993,0.011702966690063477,0.0014744026184272518,3,1,2,0.075,poly,"{'C': 3, 'coef0': 1, 'degree': 2, 'gamma': 0.075, 'kernel': 'poly'}",0.9875,0.984375,0.9875,0.9625,0.99375,0.983125,0.010752906583803288,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
436,0.0638117790222168,0.004391233417831017,0.01680164337158203,0.005269716832170634,3,1,2,0.1,poly,"{'C': 3, 'coef0': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.984375,0.984375,0.9875,0.9625,0.990625,0.9818749999999999,0.009960860906568262,126,1.0,1.0,1.0,1.0,1.0,1.0,0.0
437,0.0933253288269043,0.02252867689998045,0.013406324386596679,0.0024718052663082455,3,1,2,0.5,poly,"{'C': 3, 'coef0': 1, 'degree': 2, 'gamma': 0.5, 'kernel': 'poly'}",0.990625,0.984375,0.984375,0.965625,0.990625,0.9831249999999999,0.009185586535436928,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
438,0.04841060638427734,0.00675084983187447,0.012303447723388672,0.0013227743865713815,3,1,2,scale,poly,"{'C': 3, 'coef0': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}",0.990625,0.98125,0.984375,0.95625,0.984375,0.9793749999999999,0.011956954043568098,367,1.0,1.0,1.0,1.0,1.0,1.0,0.0
439,0.04521722793579101,0.003126955830385619,0.010799932479858398,0.002400581231075161,3,1,2,auto,poly,"{'C': 3, 'coef0': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly'}",0.990625,0.98125,0.984375,0.95625,0.984375,0.9793749999999999,0.011956954043568098,367,0.99921875,0.99921875,0.99921875,1.0,1.0,0.9995312500000001,0.00038273277230984986
440,0.04470372200012207,0.0029938998158720387,0.011705827713012696,0.0008682690929401747,3,1,3,0.01,poly,"{'C': 3, 'coef0': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.990625,0.98125,0.984375,0.95625,0.984375,0.9793749999999999,0.011956954043568098,367,0.99921875,0.99921875,0.9984375,1.0,0.99921875,0.99921875,0.0004941058844013163
