,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
54,0.07476706504821777,0.003204074836107946,0.05639491081237793,0.005289793216763604,4,scale,rbf,"{'C': 4, 'gamma': 'scale', 'kernel': 'rbf'}",0.990625,0.984375,0.9875,0.9625,0.990625,0.983125,0.01056970907830484,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
55,0.06861000061035157,0.010055989409836045,0.05987582206726074,0.006893728363049645,4,auto,rbf,"{'C': 4, 'gamma': 'auto', 'kernel': 'rbf'}",0.990625,0.984375,0.9875,0.959375,0.9875,0.9818750000000002,0.01142229180156068,16,1.0,0.99921875,1.0,1.0,1.0,0.9998437499999999,0.0003124999999999822
56,0.05023651123046875,0.004564474672695335,0.05182456970214844,0.020762905840606572,5,0.01,rbf,"{'C': 5, 'gamma': 0.01, 'kernel': 'rbf'}",0.990625,0.978125,0.984375,0.953125,0.9875,0.97875,0.013462912017836262,35,0.996875,0.9984375,0.996875,1.0,0.9984375,0.9981249999999999,0.0011692679333668732
57,0.06844449043273926,0.0057953274522548415,0.062348556518554685,0.006490333967735258,5,0.025,rbf,"{'C': 5, 'gamma': 0.025, 'kernel': 'rbf'}",0.990625,0.984375,0.9875,0.959375,0.990625,0.9825000000000002,0.01179247641507076,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
58,0.12445755004882812,0.010791290925076875,0.0755793571472168,0.004200617097820725,5,0.05,rbf,"{'C': 5, 'gamma': 0.05, 'kernel': 'rbf'}",0.9875,0.984375,0.984375,0.965625,0.99375,0.983125,0.009395810236483094,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
59,0.20386037826538086,0.0157795754496289,0.08036351203918457,0.006828197398100769,5,0.075,rbf,"{'C': 5, 'gamma': 0.075, 'kernel': 'rbf'}",0.9875,0.984375,0.984375,0.959375,0.984375,0.9800000000000001,0.01038327982864761,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
60,0.25106234550476075,0.02040739825876696,0.09028258323669433,0.009378374440470735,5,0.1,rbf,"{'C': 5, 'gamma': 0.1, 'kernel': 'rbf'}",0.98125,0.978125,0.984375,0.953125,0.9875,0.976875,0.012279301690242817,43,1.0,1.0,1.0,1.0,1.0,1.0,0.0
61,0.27368936538696287,0.03565201922403587,0.14142651557922364,0.007794424955010078,5,0.5,rbf,"{'C': 5, 'gamma': 0.5, 'kernel': 'rbf'}",0.66875,0.659375,0.690625,0.56875,0.65,0.6475,0.041617679536466244,64,1.0,1.0,1.0,1.0,1.0,1.0,0.0
62,0.07136063575744629,0.007207663882126872,0.05816926956176758,0.007839849398688406,5,scale,rbf,"{'C': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.990625,0.984375,0.9875,0.9625,0.990625,0.983125,0.01056970907830484,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
63,0.07222986221313477,0.010336133939474315,0.05888433456420898,0.009897696940758554,5,auto,rbf,"{'C': 5, 'gamma': 'auto', 'kernel': 'rbf'}",0.990625,0.984375,0.9875,0.959375,0.9875,0.9818750000000002,0.01142229180156068,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
64,0.07672605514526368,0.023125567597224863,0.06393885612487793,0.01719204363751755,10,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.990625,0.978125,0.984375,0.953125,0.9875,0.97875,0.013462912017836262,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
65,0.0728024959564209,0.017494441762420068,0.05821084976196289,0.0074724746916248076,10,0.025,rbf,"{'C': 10, 'gamma': 0.025, 'kernel': 'rbf'}",0.990625,0.984375,0.9875,0.959375,0.990625,0.9825000000000002,0.01179247641507076,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
66,0.13008346557617187,0.015423179757807957,0.08626232147216797,0.014546271668740075,10,0.05,rbf,"{'C': 10, 'gamma': 0.05, 'kernel': 'rbf'}",0.9875,0.984375,0.984375,0.965625,0.99375,0.983125,0.009395810236483094,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
67,0.2629683494567871,0.02546278356518065,0.11300163269042969,0.010373416667029657,10,0.075,rbf,"{'C': 10, 'gamma': 0.075, 'kernel': 'rbf'}",0.9875,0.984375,0.984375,0.959375,0.984375,0.9800000000000001,0.01038327982864761,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
68,0.2892273426055908,0.030916101426256726,0.10655860900878907,0.008549225983138899,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.98125,0.978125,0.984375,0.953125,0.9875,0.976875,0.012279301690242817,43,1.0,1.0,1.0,1.0,1.0,1.0,0.0
69,0.2905703544616699,0.021177552929980744,0.13375773429870605,0.013896680913584425,10,0.5,rbf,"{'C': 10, 'gamma': 0.5, 'kernel': 'rbf'}",0.66875,0.659375,0.690625,0.56875,0.65,0.6475,0.041617679536466244,64,1.0,1.0,1.0,1.0,1.0,1.0,0.0
70,0.10420823097229004,0.007330587152863304,0.08164896965026855,0.005200606835857041,10,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.990625,0.984375,0.9875,0.9625,0.990625,0.983125,0.01056970907830484,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
71,0.08209238052368165,0.013316695997935004,0.06731534004211426,0.005039164202593477,10,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.990625,0.984375,0.9875,0.959375,0.9875,0.9818750000000002,0.01142229180156068,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
